"","YM","CATEGORY","ITEM_CNT","QTY","PRICE","MAXTEMP","SALEDAY","RAIN_DAY","HOLIDAY"
"1",201003,"에너지음료",1,24,1000,10,145771,2940,9
"2",201004,"에너지음료",2,193,1000,15,130412,5973,8
"3",201005,"에너지음료",4,374,850,23,143681,8656,12
"4",201006,"에너지음료",4,584,850,28,145035,6325,8
"5",201007,"에너지음료",4,542,850,29,148561,14930,9
"6",201008,"에너지음료",4,511,850,31,153056,30531,9
"7",201009,"에너지음료",4,348,850,27,147804,23150,11
"8",201010,"에너지음료",4,116,850,20,155952,1337,10
"9",201011,"에너지음료",3,238,800,13,154482,0,8
"10",201012,"에너지음료",3,222,800,5,161292,886,8
"11",201101,"에너지음료",1,185,1000,-1,163610,82,10
"12",201102,"에너지음료",1,207,1000,7,149737,5587,11
"13",201103,"에너지음료",1,261,1000,10,169838,919,9
"14",201104,"에너지음료",1,340,1000,17,167577,8244,9
"15",201105,"에너지음료",3,75,1333,23,176452,7345,10
"16",201106,"에너지음료",3,119,1333,27,173664,25001,9
"17",201107,"에너지음료",3,412,1333,29,182676,43058,10
"18",201108,"에너지음료",4,200,1725,29,186850,20554,9
"19",201109,"에너지음료",4,467,1725,26,184270,5373,10
"20",201110,"에너지음료",4,562,1725,20,194286,4146,11
"21",201111,"에너지음료",4,438,1725,16,191703,10027,8
"22",201112,"에너지음료",4,514,1725,5,201541,489,9
"23",201201,"에너지음료",4,386,1725,3,203133,362,11
"24",201202,"에너지음료",5,435,1660,5,186880,377,8
"25",201203,"에너지음료",5,732,1660,11,212945,6556,10
"26",201204,"에너지음료",4,1183,1350,18,209151,17042,9
"27",201205,"에너지음료",6,1428,1633,24,215673,2095,10
"28",201206,"에너지음료",7,1573,1543,28,215525,8865,10
"29",201207,"에너지음료",7,1825,1543,29,203590,25076,9
"30",201208,"에너지음료",7,2425,1543,30,228142,32385,9
"31",201209,"에너지음료",9,2601,1522,25,223581,23569,10
"32",201210,"에너지음료",10,2455,1560,21,233331,11111,10
"33",201211,"에너지음료",11,1774,1555,11,229144,4805,8
"34",201212,"에너지음료",12,1521,1508,2,239129,3706,11
"35",201301,"에너지음료",12,1246,1508,2,240416,2528,9
"36",201302,"에너지음료",12,951,1433,5,217015,6667,9
"37",201303,"에너지음료",16,1593,1569,12,243648,4364,11
"38",201304,"에너지음료",17,1935,1535,15,237340,6727,8
"39",201305,"에너지음료",17,2073,1535,23,245068,17217,10
"40",201306,"에너지음료",17,2169,1594,28,236180,7360,11
"41",201307,"에너지음료",17,2606,1594,29,241687,41344,8
"42",201308,"에너지음료",17,2256,1459,31,240142,22284,10
"43",201309,"에너지음료",17,2254,1488,26,231662,13699,12
"44",201310,"에너지음료",18,1981,1567,21,239981,3011,10
"45",201311,"에너지음료",18,1082,1567,12,232854,2944,9
"46",201312,"에너지음료",17,988,1541,5,240458,202,10
"47",200901,"일반탄산음료",29,2213,1169,4,126753,151,12
"48",200902,"일반탄산음료",28,2239,1200,9,113399,3014,8
"49",200903,"일반탄산음료",31,2767,1194,12,129162,1383,9
"50",200904,"일반탄산음료",30,3696,1158,19,126277,3564,8
"51",200905,"일반탄산음료",34,3773,1135,25,129584,9288,12
"52",200906,"일반탄산음료",37,3833,1130,27,123218,9998,8
"53",200907,"일반탄산음료",38,3525,1126,28,131083,17405,8
"54",200908,"일반탄산음료",38,4087,1125,29,130040,7704,10
"55",200909,"일반탄산음료",39,4169,1119,27,131989,4096,8
"56",200910,"일반탄산음료",38,4822,1117,22,136095,2824,10
"57",200911,"일반탄산음료",39,2787,1106,12,136152,3684,9
"58",200912,"일반탄산음료",39,2642,1106,5,137391,216,9
"59",201001,"일반탄산음료",38,2548,1111,2,141145,792,11
"60",201002,"일반탄산음료",40,2507,1124,7,128528,4384,9
"61",201003,"일반탄산음료",40,3563,1130,10,145771,2940,9
"62",201004,"일반탄산음료",40,3714,1130,15,130412,5973,8
"63",201005,"일반탄산음료",42,4573,1189,23,143681,8656,12
"64",201006,"일반탄산음료",42,4983,1217,28,145035,6325,8
"65",201007,"일반탄산음료",42,3902,1248,29,148561,14930,9
"66",201008,"일반탄산음료",44,4732,1238,31,153056,30531,9
"67",201009,"일반탄산음료",44,4689,1240,27,147804,23150,11
"68",201010,"일반탄산음료",43,4355,1241,20,155952,1337,10
"69",201011,"일반탄산음료",43,3406,1241,13,154482,0,8
"70",201012,"일반탄산음료",43,3240,1241,5,161292,886,8
"71",201101,"일반탄산음료",43,2956,1241,-1,163610,82,10
"72",201102,"일반탄산음료",43,3103,1273,7,149737,5587,11
"73",201103,"일반탄산음료",40,3755,1309,10,169838,919,9
"74",201104,"일반탄산음료",43,4350,1306,17,167577,8244,9
"75",201105,"일반탄산음료",42,5066,1314,23,176452,7345,10
"76",201106,"일반탄산음료",44,4848,1310,27,173664,25001,9
"77",201107,"일반탄산음료",44,5878,1315,29,182676,43058,10
"78",201108,"일반탄산음료",50,4969,1207,29,186850,20554,9
"79",201109,"일반탄산음료",50,5004,1221,26,184270,5373,10
"80",201110,"일반탄산음료",50,4984,1235,20,194286,4146,11
"81",201111,"일반탄산음료",50,4259,1235,16,191703,10027,8
"82",201112,"일반탄산음료",49,3854,1239,5,201541,489,9
"83",201201,"일반탄산음료",50,4279,1233,3,203133,362,11
"84",201202,"일반탄산음료",53,4207,1203,5,186880,377,8
"85",201203,"일반탄산음료",53,5351,1193,11,212945,6556,10
"86",201204,"일반탄산음료",53,5826,1193,18,209151,17042,9
"87",201205,"일반탄산음료",51,5703,1435,24,215673,2095,10
"88",201206,"일반탄산음료",57,6059,1395,28,215525,8865,10
"89",201207,"일반탄산음료",60,6036,1418,29,203590,25076,9
"90",201208,"일반탄산음료",60,8128,1418,30,228142,32385,9
"91",201209,"일반탄산음료",59,6233,1481,25,223581,23569,10
"92",201210,"일반탄산음료",58,6610,1486,21,233331,11111,10
"93",201211,"일반탄산음료",55,4408,1518,11,229144,4805,8
"94",201212,"일반탄산음료",58,4304,1522,2,239129,3706,11
"95",201301,"일반탄산음료",57,4339,1531,2,240416,2528,9
"96",201302,"일반탄산음료",58,4340,1544,5,217015,6667,9
"97",201303,"일반탄산음료",59,4834,1543,12,243648,4364,11
"98",201304,"일반탄산음료",58,5384,1544,15,237340,6727,8
"99",201305,"일반탄산음료",59,7094,1540,23,245068,17217,10
"100",201306,"일반탄산음료",55,7963,1462,28,236180,7360,11
"101",201307,"일반탄산음료",55,7947,1462,29,241687,41344,8
"102",201308,"일반탄산음료",56,9079,1455,31,240142,22284,10
"103",201309,"일반탄산음료",58,7186,1493,26,231662,13699,12
"104",201310,"일반탄산음료",56,8716,1473,21,239981,3011,10
"105",201311,"일반탄산음료",55,5610,1473,12,232854,2944,9
"106",201312,"일반탄산음료",58,5993,1483,5,240458,202,10
"107",200901,"차음료",43,1346,1422,4,126753,151,12
"108",200902,"차음료",42,1260,1431,9,113399,3014,8
"109",200903,"차음료",43,1664,1498,12,129162,1383,9
"110",200904,"차음료",43,2125,1501,19,126277,3564,8
"111",200905,"차음료",46,2220,1477,25,129584,9288,12
"112",200906,"차음료",43,2082,1266,27,123218,9998,8
"113",200907,"차음료",45,2153,1249,28,131083,17405,8
"114",200908,"차음료",44,2479,1243,29,130040,7704,10
"115",200909,"차음료",43,2394,1253,27,131989,4096,8
"116",200910,"차음료",45,2116,1242,22,136095,2824,10
"117",200911,"차음료",44,1657,1236,12,136152,3684,9
"118",200912,"차음료",43,1518,1233,5,137391,216,9
"119",201001,"차음료",42,1463,1233,2,141145,792,11
"120",201002,"차음료",42,1336,1235,7,128528,4384,9
"121",201003,"차음료",41,1645,1240,10,145771,2940,9
"122",201004,"차음료",41,1979,1243,15,130412,5973,8
"123",201005,"차음료",43,2193,1229,23,143681,8656,12
"124",201006,"차음료",41,2366,1240,28,145035,6325,8
"125",201007,"차음료",42,2385,1246,29,148561,14930,9
"126",201008,"차음료",43,2561,1276,31,153056,30531,9
"127",201009,"차음료",43,2222,1264,27,147804,23150,11
"128",201010,"차음료",45,2276,1294,20,155952,1337,10
"129",201011,"차음료",45,1919,1288,13,154482,0,8
"130",201012,"차음료",40,1898,1308,5,161292,886,8
"131",201101,"차음료",40,1685,1308,-1,163610,82,10
"132",201102,"차음료",42,1648,1301,7,149737,5587,11
"133",201103,"차음료",40,2069,1308,10,169838,919,9
"134",201104,"차음료",43,2473,1363,17,167577,8244,9
"135",201105,"차음료",43,2626,1367,23,176452,7345,10
"136",201106,"차음료",43,2779,1356,27,173664,25001,9
"137",201107,"차음료",44,2717,1377,29,182676,43058,10
"138",201108,"차음료",45,2674,1373,29,186850,20554,9
"139",201109,"차음료",41,2879,1423,26,184270,5373,10
"140",201110,"차음료",41,2535,1421,20,194286,4146,11
"141",201111,"차음료",41,2322,1416,16,191703,10027,8
"142",201112,"차음료",41,2242,1401,5,201541,489,9
"143",201201,"차음료",40,2115,1421,3,203133,362,11
"144",201202,"차음료",41,1804,1430,5,186880,377,8
"145",201203,"차음료",42,2297,1417,11,212945,6556,10
"146",201204,"차음료",42,3001,1424,18,209151,17042,9
"147",201205,"차음료",46,3992,1445,24,215673,2095,10
"148",201206,"차음료",45,3243,1443,28,215525,8865,10
"149",201207,"차음료",48,3206,1476,29,203590,25076,9
"150",201208,"차음료",49,3778,1485,30,228142,32385,9
"151",201209,"차음료",50,2965,1498,25,223581,23569,10
"152",201210,"차음료",50,3090,1498,21,233331,11111,10
"153",201211,"차음료",49,2267,1539,11,229144,4805,8
"154",201212,"차음료",49,2295,1539,2,239129,3706,11
"155",201301,"차음료",49,2089,1539,2,240416,2528,9
"156",201302,"차음료",48,1880,1523,5,217015,6667,9
"157",201303,"차음료",49,2348,1516,12,243648,4364,11
"158",201304,"차음료",50,2435,1510,15,237340,6727,8
"159",201305,"차음료",50,3209,1520,23,245068,17217,10
"160",201306,"차음료",51,3274,1539,28,236180,7360,11
"161",201307,"차음료",51,3395,1539,29,241687,41344,8
"162",201308,"차음료",50,3894,1556,31,240142,22284,10
"163",201309,"차음료",49,3708,1553,26,231662,13699,12
"164",201310,"차음료",49,3413,1553,21,239981,3011,10
"165",201311,"차음료",50,2615,1548,12,232854,2944,9
"166",201312,"차음료",50,2443,1548,5,240458,202,10
